StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,sex,sex_3_TEXT,age,marit_status,children,employ_status,employ_status_6_TEXT,SES,tested_positive,know_tested_positive,no_bots,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self-control__1,trait_self-control__2,trait_self-control__3,trait_self-control__4,Self-esteem_1,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology_1,moral_circle1,health_1,Q108_1,CRT1,CRT2,CRT3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Consent 

You can indicate your consent to participate by checking the box below. You are encouraged to save a copy of this information for future reference.

Download a copy of this letter here",What is your sex? - Selected Choice,What is your sex? - Other - Text,How old are you?,What is your current marital status?,"How many children do you have? If none, please type 0.",How would you describe your current employment status? - Selected Choice,How would you describe your current employment status? - Other - Text,"Please think of this ladder as representing where people stand in Canada. 

 

At the top of this ladder are the people who are the best off – those who have the most money, the most education and the most respected jobs. At the bottom are the people who are the worst off – who have the least money, least education, and the least respected jobs or no jobs. The higher up you are on this ladder, the closer you are to the people at the very top, the lower you are, the closer you are to the people at the very bottom.

 



 

Where would you place yourself on this ladder to represent where you think you stand at this time in your life, compared to other people in Canada?","Have you tested positive for the Coronavirus (COVID-19), meaning that you (now or earlier) have had a medically confirmed case of this disease?","Has anyone you know well (friend, partner, family, colleague etc.) tested positive for the Coronavirus (COVID-19)?",Help us get rid of bots: Please write the number 213 into the comment box.,physical_contact_ - Staying at home as much as practically possible,"physical_contact_ - Visiting friends, family, or colleagues outside my home",physical_contact_ - Keeping the number of grocery store visits at an absolute minimum,physical_contact_ - Keeping physical distance from all other people outside my home,physical_contact_ - Avoiding handshaking with people outside my home,physical_hygiene_ - Washing my hands longer than usual,physical_hygiene_ - Washing my hands (with soap) more thoroughly than usual,physical_hygiene_ - Washing my hands immediately after returning home,"physical_hygiene_ - Disinfecting frequently used objects, such as mobile phones and keys",physical_hygiene_ - Sneezing and coughing into my upper sleeve,policy_support_ - In favor of closing all schools and universities,policy_support_ - In favor of closing all bars and restaurants,policy_support_ - In favor of closing all parks,policy_support_ - In favor of forbidding all public gatherings where many people are gathered at one place (sports and culture),policy_support_ - In favor of forbidding all non-necessary travel,"Read carefully 

 
Please imagine that you were provided with the total amount of $200.



It would be entirely up to you how much money you would keep for yourself, and how much you would give to charity organizations who are working full-time to protect people from the Coronavirus (COVID-19).

 

Your identity would remain 100% anonymous, regardless of your choice.

No one else would know how much you decided to keep and how much you decided to give.

 
If this was a real choice:

 
How much (0-100%) would you give to charity?

 

Please indicate below how much you would keep to yourself, how much you would give to a national charity in Canada, providing medical support to people in your own country, and how much you would give to an international charity, providing medical support to people in need all over the world. - What would you KEEP to yourself","Read carefully 

 
Please imagine that you were provided with the total amount of $200.



It would be entirely up to you how much money you would keep for yourself, and how much you would give to charity organizations who are working full-time to protect people from the Coronavirus (COVID-19).

 

Your identity would remain 100% anonymous, regardless of your choice.

No one else would know how much you decided to keep and how much you decided to give.

 
If this was a real choice:

 
How much (0-100%) would you give to charity?

 

Please indicate below how much you would keep to yourself, how much you would give to a national charity in Canada, providing medical support to people in your own country, and how much you would give to an international charity, providing medical support to people in need all over the world. - What would you GIVE to the Red Cross Foundation in Canada","Read carefully 

 
Please imagine that you were provided with the total amount of $200.



It would be entirely up to you how much money you would keep for yourself, and how much you would give to charity organizations who are working full-time to protect people from the Coronavirus (COVID-19).

 

Your identity would remain 100% anonymous, regardless of your choice.

No one else would know how much you decided to keep and how much you decided to give.

 
If this was a real choice:

 
How much (0-100%) would you give to charity?

 

Please indicate below how much you would keep to yourself, how much you would give to a national charity in Canada, providing medical support to people in your own country, and how much you would give to an international charity, providing medical support to people in need all over the world. - What would you GIVE to the International Red Cross Foundation","In general, to what extent do you feel happy these days?","Please imagine a ladder, with steps numbered 0 at the bottom and 10 at the top. The top represents the best possible life for you, and the bottom represents the worst possible life for you. On which step of the ladder would you say you personally feel you stand at this time?","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Canada deserves special treatment.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Not many people seem to fully understand the importance of Canada","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I will never be satisfied until Canada gets the recognition it deserves","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I identify as Canadian","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Being a Canadian is an important reflection of who I am","For each of the following statements, please select the answer that best describes whether you agree or disagree. - The coronavirus (COVID-19) is a bioweapon engineered by scientists.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - The coronavirus (COVID-19) is a conspiracy to take away citizen’s rights for good and establish an authoritarian government.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - The coronavirus (COVID-19) is a hoax invented by interest groups for financial gains.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - The coronavirus (COVID-19) was created as a cover up for the impending global economic crash","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I think that paying attention to people who disagree with me is a waste of time.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I feel no shame learning from someone who knows more than me.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - If I do not know much about some topic, I don’t mind being taught about it, even if I know about other topics.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Even when I have high status, I don’t mind learning from others who have lower status.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Only wimps admit that they’ve made mistakes.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I don’t take people seriously if they’re very different from me.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone helped a member of their family.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone worked to unite a community.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone kept their promise.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone showed courage in the face of adversity.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone deferred to those in authority.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone kept the best part for themselves.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone kept something that didn’t belong to them.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - As a person, I am optimistic for my future.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Overall, I expect more good things to happen to me than bad.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I feel connected with others.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - When I am with other people, I feel included.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I feel accepted by others.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I have close bonds with family and friends.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I am good at resisting temptation","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I am able to work effectively toward long-term goals","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I have a hard time breaking bad habits","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I am lazy","For the following statement, please select the answer that best describes whether you agree or disagree. - I have high self-esteem","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I react annoyed if another person steals the show from me.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I deserve to be seen as a great personality.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I want my rivals to fail.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Being a very special person gives me a lot of strength.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I manage to be the center of attention with my outstanding contributions.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Most people are somehow losers.","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - It would make me feel good to be a person who has these characteristics.","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - Being someone who has these characteristics is an important part of who I am.","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - I often wear clothes that identify me as having these characteristics.","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - I would be ashamed to be a person who had these characteristics.","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - The types of things I do in my spare time (e.g., hobbies) clearly identify me as having these characteristics","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - The kinds of books and magazines that I read identify me as having these characteristics.","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - Having these characteristics is not really important to me.","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - The fact that I have these characteristics is communicated to others by my membership in certain organizations.","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - I am actively involved in activities that communicate to others that I have these characteristics.","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - I strongly desire to have these characteristics.","Listed below are some characteristics that might describe a person: caring, compass - By April 30, 2021: How likely do you think it is that you will get infected by the Coronavirus (Covid-19)?","Listed below are some characteristics that might describe a person: caring, compass - By April 30, 2021: How likely do you think it is that the average person in Canada will get infected by the Coronavirus (Covid-19)?","Overall, how would you describe yourself in terms of political ideology?","Please select the number that represents the extent of your moral circle. Note that, in this scale, the number you select includes all the numbers below it as well. So, for example, if you select 10 (all mammals) you are also including number 1-9 (up to""all people on all continents"") in your moral circle.","In general, how would you rate your physical health as it is today?","Please confirm that you have read this question by moving the bar all the way to the left, providing the value 0 as your answer. - Weather rating:",A postcard and a pen cost 150 cents in total. The postcard costs 100 cents more than the pen. How much does the pen cost?,"If it takes 3 nurses 3 minutes to measure the blood pressure of 3 patients, how long would it take 300 nurses to measure the blood pressure of 300 patients?","Sally is making sun tea. Every hour, the concentration of the tea doubles. If it takes 8 hours for the tea to be ready, how long would it take for the tea to reach half of the final concentration?"
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID916""}","{""ImportId"":""QID592""}","{""ImportId"":""QID592_3_TEXT""}","{""ImportId"":""QID594_TEXT""}","{""ImportId"":""QID854""}","{""ImportId"":""QID855_TEXT""}","{""ImportId"":""QID856""}","{""ImportId"":""QID856_6_TEXT""}","{""ImportId"":""QID857""}","{""ImportId"":""QID858""}","{""ImportId"":""QID859""}","{""ImportId"":""QID860_TEXT""}","{""ImportId"":""QID814_4""}","{""ImportId"":""QID814_6""}","{""ImportId"":""QID814_7""}","{""ImportId"":""QID814_8""}","{""ImportId"":""QID814_9""}","{""ImportId"":""QID827_1""}","{""ImportId"":""QID827_4""}","{""ImportId"":""QID827_5""}","{""ImportId"":""QID827_6""}","{""ImportId"":""QID827_7""}","{""ImportId"":""QID833_4""}","{""ImportId"":""QID833_5""}","{""ImportId"":""QID833_6""}","{""ImportId"":""QID833_7""}","{""ImportId"":""QID833_8""}","{""ImportId"":""QID838_1""}","{""ImportId"":""QID838_2""}","{""ImportId"":""QID838_3""}","{""ImportId"":""QID793_1""}","{""ImportId"":""QID839_1""}","{""ImportId"":""QID842_1""}","{""ImportId"":""QID842_2""}","{""ImportId"":""QID842_3""}","{""ImportId"":""QID843_1""}","{""ImportId"":""QID843_2""}","{""ImportId"":""QID844_1""}","{""ImportId"":""QID844_2""}","{""ImportId"":""QID844_4""}","{""ImportId"":""QID844_5""}","{""ImportId"":""QID845_1""}","{""ImportId"":""QID845_2""}","{""ImportId"":""QID845_4""}","{""ImportId"":""QID845_5""}","{""ImportId"":""QID845_6""}","{""ImportId"":""QID845_7""}","{""ImportId"":""QID846_1""}","{""ImportId"":""QID846_2""}","{""ImportId"":""QID846_4""}","{""ImportId"":""QID846_5""}","{""ImportId"":""QID846_6""}","{""ImportId"":""QID846_7""}","{""ImportId"":""QID846_8""}","{""ImportId"":""QID847_1""}","{""ImportId"":""QID847_2""}","{""ImportId"":""QID848_1""}","{""ImportId"":""QID848_2""}","{""ImportId"":""QID848_9""}","{""ImportId"":""QID848_10""}","{""ImportId"":""QID787_1""}","{""ImportId"":""QID787_2""}","{""ImportId"":""QID787_14""}","{""ImportId"":""QID787_15""}","{""ImportId"":""QID850_1""}","{""ImportId"":""QID789_1""}","{""ImportId"":""QID789_17""}","{""ImportId"":""QID789_18""}","{""ImportId"":""QID789_19""}","{""ImportId"":""QID789_20""}","{""ImportId"":""QID789_21""}","{""ImportId"":""QID790_1""}","{""ImportId"":""QID790_17""}","{""ImportId"":""QID790_18""}","{""ImportId"":""QID790_19""}","{""ImportId"":""QID790_20""}","{""ImportId"":""QID790_21""}","{""ImportId"":""QID790_22""}","{""ImportId"":""QID790_23""}","{""ImportId"":""QID790_24""}","{""ImportId"":""QID790_25""}","{""ImportId"":""QID791_1""}","{""ImportId"":""QID791_26""}","{""ImportId"":""QID853_1""}","{""ImportId"":""QID810""}","{""ImportId"":""QID811_1""}","{""ImportId"":""QID909_1""}","{""ImportId"":""QID796_TEXT""}","{""ImportId"":""QID798_TEXT""}","{""ImportId"":""QID799_TEXT""}"
2020-04-29 20:43,2020-04-29 20:52,IP Address,154.20.100.64,100,579,TRUE,2020-04-29 20:52,R_1luBMUvUU2O5Tiu,,,,,49.19630432,-122.8106003,anonymous,EN,"I have read the Letter of Information, have had the nature of the study explained to me and I agree to participate. All questions have been answered to my satisfaction.",Female,,34,Married,2,Other,Homemaker ,8,No,No,213,10,2,9,10,10,10,10,10,5,10,7,8,8,9,10,90,10,0,8,6,3,6,5,10,10,1,1,1,1,3,10,9,10,0,0,7,6,5,5,5,5,5,7,7,7,8,7,10,7,7,5,7,7,1,7,0,6,2,0,8,8,7,1,6,6,4,7,5,7,10,10,5,1,6,0,50 cents ,300 minutes ,4 hours 
2020-04-29 20:45,2020-04-29 20:56,IP Address,99.233.33.224,100,710,TRUE,2020-04-29 20:56,R_3J4pWKThofUyYXL,,,,,44.38290405,-79.70020294,anonymous,EN,"I have read the Letter of Information, have had the nature of the study explained to me and I agree to participate. All questions have been answered to my satisfaction.",Female,,47,Single,0,Unemployed looking for work,,0 - At the bottom in Canada,No,No,213,10,0,8,9,10,2,2,0,0,3,10,10,8,10,10,100,0,0,4,0,7,9,9,10,10,6,2,1,3,6,9,7,7,1,4,3,6,6,8,8,5,5,3,3,3,3,3,5,4,6,6,8,7,3,4,6,4,1,4,8,7,6,1,3,4,4,3,2,5,0,10,5,1,8,0,50,3,4
2020-04-29 20:42,2020-04-29 20:58,IP Address,99.231.225.249,100,958,TRUE,2020-04-29 20:58,R_3PtxumqOac0AjQo,,,,,43.88409424,-79.06069946,anonymous,EN,"I have read the Letter of Information, have had the nature of the study explained to me and I agree to participate. All questions have been answered to my satisfaction.",Male,,28,Single,0,Unemployed looking for work,,3,No,No,213,8,2,8,9,10,6,6,7,7,8,8,9,7,9,10,100,50,50,5,4,5,8,5,10,10,1,0,0,0,0,8,7,5,0,0,5,5,5,7,7,4,5,7,7,3,3,1,7,6,5,5,3,5,0,6,0,5,2,0,9,9,5,0,6,4,8,7,3,7,20,20,5,10,5,0,50,300,4
2020-04-29 20:42,2020-04-29 20:58,IP Address,45.58.197.182,100,976,TRUE,2020-04-29 20:58,R_3NPZa3QbBTF3l6v,,,,,43.73379517,-79.33249664,anonymous,EN,"I have read the Letter of Information, have had the nature of the study explained to me and I agree to participate. All questions have been answered to my satisfaction.",Male,,70,Married,3,Retired,,8,No,No,213,9,0,8,7,10,1,1,0,0,0,0,0,0,0,1,100,0,0,8,6,0,9,1,10,9,0,0,0,0,2,10,10,10,0,0,5,5,8,8,1,9,0,9,9,7,7,8,7,8,9,4,1,9,1,1,0,8,2,2,10,7,1,0,1,2,0,1,1,9,60,70,3,16,8,0,25,3 minutes,7 hours
2020-04-29 20:44,2020-04-29 20:58,IP Address,184.146.75.228,100,893,TRUE,2020-04-29 20:58,R_2ZW7qOhg4DlmzXc,,,,,43.74890137,-79.44219971,anonymous,EN,"I have read the Letter of Information, have had the nature of the study explained to me and I agree to participate. All questions have been answered to my satisfaction.",Female,,29,Married,1,Employed full time,,4,No,No,213,7,0,8,10,10,10,10,6,3,10,10,7,6,10,10,50,50,0,4,4,2,7,3,8,8,0,0,0,0,7,7,8,8,0,2,7,7,7,8,3,7,9,6,6,6,4,6,7,6,6,6,4,6,7,4,4,6,4,2,10,10,6,0,2,2,0,6,6,10,10,0,3,9,5,0,25,300,7
2020-04-29 20:44,2020-04-29 21:03,IP Address,198.48.228.217,100,1123,TRUE,2020-04-29 21:03,R_wZURNiOKCrEfvMJ,,,,,44.14920044,-79.86849976,anonymous,EN,"I have read the Letter of Information, have had the nature of the study explained to me and I agree to participate. All questions have been answered to my satisfaction.",Female,,37,Married,2,Employed full time,,5- In the middle in Canada,No,No,213,9,1,9,10,10,8,8,10,10,10,10,10,10,10,10,0,100,0,8,8,5,4,4,10,10,0,0,0,0,3,9,9,9,0,0,9,9,8,8,7,1,1,8,7,8,9,9,9,5,9,9,2,7,4,5,3,5,5,2,10,10,5,0,5,5,0,5,5,10,90,90,5,14,6,0,50,3 minutes,4 hours 
2020-04-29 20:41,2020-04-29 21:03,IP Address,209.204.209.24,100,1292,TRUE,2020-04-29 21:03,R_2xPgPnGJnfTaTHT,,,,,43.14070129,-80.73439789,anonymous,EN,"I have read the Letter of Information, have had the nature of the study explained to me and I agree to participate. All questions have been answered to my satisfaction.",Female,,30,In a relationship,0,Other,homemaker,5- In the middle in Canada,No,No,213,10,0,10,10,10,10,5,10,10,10,10,10,10,10,10,80,10,10,3,6,5,7,5,10,10,0,0,0,0,5,10,10,7,0,0,10,6,5,5,6,5,5,0,0,5,8,8,9,5,5,7,6,0,0,6,5,0,0,6,10,8,7,0,10,5,1,6,8,9,50,50,5,11,4,0,50 cents,100,4
2020-04-29 20:50,2020-04-29 21:03,IP Address,142.114.6.53,100,807,TRUE,2020-04-29 21:03,R_3ISAtUaYiY1Js9H,,,,,45.46679688,-76.68270111,anonymous,EN,"I have read the Letter of Information, have had the nature of the study explained to me and I agree to participate. All questions have been answered to my satisfaction.",Female,,62,Married,1,Employed full time,,5- In the middle in Canada,No,No,213,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,100,0,3,6,5,5,5,10,10,0,0,0,0,10,10,10,10,10,10,,,,,,,6,10,10,10,10,10,10,10,10,3,0,10,0,10,0,10,3,5,10,4,4,4,5,4,4,4,6,5,0,0,10,6,10,0,50,300,10
