RecordDate;Duration_sec;Country;Language;physical_contact__1;physical_contact__2;physical_contact__3;physical_contact__4;physical_contact__5;physical_hygiene__1;physical_hygiene__2;physical_hygiene__3;physical_hygiene__4;physical_hygiene__5;policy_support__1;policy_support__2;policy_support__3;policy_support__4;policy_support__5;generosity__1;generosity__2;generosity__3;psych_wellbeing1;psych_wellbeing2;collective_narcis__1;collective_narcis__2;collective_narcis__3;national_identity__1;national_identity__2;Conspiracy_theories__1;Conspiracy_theories__2;Conspiracy_theories__3;Conspiracy_theories__4;open_mindedness__1;open_mindedness__2;open_mindedness__3;open_mindedness__4;open_mindedness__5;open_mindedness__6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging__1;social_belonging__2;social_belonging__3;social_belonging__4;trait_self.control__1;trait_self.control__2;trait_self.control__3;trait_self.control__4;Self.esteem;Narcissism__1;Narcissism__2;Narcissism__3;Narcissism__4;Narcissism__5;Narcissism__6;Moral_ID__1;Moral_ID__2;Moral_ID__3;Moral_ID__4;Moral_ID__5;Moral_ID__6;Moral_ID__7;Moral_ID__8;Moral_ID__9;Moral_ID__10;risk_perception__1;risk_perception__2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;know_tested_positive;AttCheck_nobots;AttCheck2;;;
22-May-2020 14:19:00;743;SINGAPORE;EN-GB;8;8;8;7;8;8;9;9;10;9;9;8;7;8;7;50;30;20;7;8;9;5;3;7;8;4;4;4;4;8;5;5;4;4;5;3;8;8;8;7;7;7;7;9;9;8;9;9;8;7;7;1;10;8;8;2;9;8;7;7;9;8;5;7;6;5;6;6;7;30;40;9;14;9;50;3;3;1;NA;32;3;1;1;NA;2;1;1;1;213;7;NA;NA;NA
22-May-2020 14:21:00;980;SINGAPORE;EN-GB;9;1;8;9;9;7;8;8;8;6;7;9;9;9;9;70;20;10;8;7;8;9;9;10;10;8;7;4;6;7;8;8;9;2;6;6;7;8;8;6;5;2;7;7;7;6;6;8;6;8;7;3;6;6;7;6;8;6;6;7;7;6;4;7;7;6;6;5;6;70;70;6;5;8;50;3;4;2;NA;39;1;1;2;NA;4;1;1;1;213;0;NA;NA;NA
22-May-2020 14:22:00;293;SINGAPORE;EN-GB;3;9;7;8;7;8;6;10;6;7;6;10;7;7;8;20;60;20;9;7;7;10;7;8;8;10;8;9;8;7;9;9;7;8;7;7;3;2;8;2;3;9;7;8;7;9;6;3;7;9;8;9;7;2;3;0;4;2;0;7;9;7;5;9;7;9;4;3;7;80;80;7;7;7;25;300;7;1;NA;24;1;0;2;NA;3;1;1;1;213;8;NA;NA;NA
22-May-2020 14:25:00;685;SINGAPORE;EN-GB;8;5;6;6;6;7;5;7;4;2;5;7;6;6;3;50;40;10;3;5;7;6;6;7;6;6;5;4;6;3;10;10;10;3;7;4;5;6;5;6;3;4;7;8;2;5;4;7;6;3;4;6;6;7;4;5;7;7;7;7;5;4;5;7;7;4;4;5;7;70;60;6;16;6;50;3;7;2;NA;59;1;2;1;NA;4;1;1;1;213;0;NA;NA;NA
22-May-2020 14:25:00;623;SINGAPORE;EN-GB;10;0;10;10;10;9;9;9;9;9;8;10;2;7;7;70;30;0;8;9;7;2;1;10;10;0;0;0;0;9;9;10;9;9;8;8;8;9;10;8;9;8;8;9;9;9;9;8;9;9;1;0;8;2;3;0;8;8;8;8;8;2;0;7;8;7;8;8;8;10;20;7;1;8;125;3;7;2;NA;51;3;1;2;NA;3;1;1;1;213;0;NA;NA;NA
22-May-2020 14:26:00;1080;SINGAPORE;EN-GB;5;3;5;9;10;5;5;5;3;5;5;8;3;10;10;100;0;0;3;3;5;3;5;8;6;5;5;3;3;8;10;8;10;2;5;9;6;8;8;5;5;5;3;3;4;4;5;6;6;7;8;3;3;3;4;8;5;3;6;8;5;2;2;5;5;7;3;4;8;30;40;5;3;8;50;300;4;1;NA;62;2;2;2;NA;6;2;1;1;213;0;NA;NA;NA
22-May-2020 14:30:00;1411;SINGAPORE;EN-GB;8;0;8;9;10;9;9;9;7;5;8;8;7;9;8;50;50;0;7;7;5;7;4;10;9;4;3;3;3;5;9;9;9;1;1;5;5;6;8;5;7;7;7;7;7;7;7;7;7;7;3;2;6;2;2;2;5;2;2;8;7;4;2;6;6;8;5;2;5;10;10;6;16;8;50;3;4;1;NA;48;3;0;3;NA;5;1;1;1;213;0;NA;NA;NA
22-May-2020 14:31:00;1469;SINGAPORE;EN-GB;9;0;9;9;10;9;9;9;8;2;9;9;8;9;10;80;15;5;7;7;4;6;6;8;8;1;0;0;1;9;9;9;10;1;3;8;8;7;6;4;3;3;4;6;6;4;4;6;8;6;8;10;7;7;6;8;8;6;3;9;8;2;0;3;3;0;3;6;8;20;40;5;4;7;25;3;7;1;NA;46;1;0;2;NA;5;1;1;1;213;0;NA;NA;NA
22-May-2020 14:32:00;1211;SINGAPORE;EN-GB;10;0;10;10;10;10;10;10;10;10;10;10;9;10;10;10;45;45;4;7;5;8;2;10;5;0;0;0;0;1;10;10;10;0;0;8;8;5;9;5;9;1;10;9;9;9;9;10;8;9;1;1;7;1;4;1;5;1;0;10;10;8;2;8;7;1;8;9;10;30;20;5;9;8;50;3;2;1;NA;32;3;2;1;NA;4;1;1;1;213;0;NA;NA;NA
22-May-2020 14:33:00;1334;SINGAPORE;EN-GB;8;0;7;7;7;8;8;6;5;4;3;6;2;7;3;60;40;0;6;6;4;7;8;9;8;2;2;2;3;4;7;7;7;7;3;7;6;7;6;6;4;4;7;8;7;5;7;6;6;6;8;4;6;3;6;3;8;4;4;7;7;6;4;7;7;8;7;7;4;20;30;7;7;6;50;3;4;1;NA;49;1;0;1;NA;6;1;1;1;213;0;NA;NA;NA
